Customer_ID,Street,City,State_Code,Postal_Code,Country,Seasonality_Segment,EA_Segment,Revenue_Bucket,Profit_Bucket,Market_Share_Segment,Casino_Size_Segment,Market_Potential_Segment,Churn_Segment,Competitiveness_Flag,Volume_Segment,Density_Segment,Propensity
Accoount 18,"INTERSTATE 40, EXIT 102",ACOMA,NM,87034,USA,,,L,H,M,L,M,Minimal Change,Yes,Low,,M
Accoount 19,3330 W. TROPICANA AVENUE,LAS VEGAS,NV,89103,USA,,None,L,H,H,L,L,Minimal Change,Yes,High,High,M
Accoount 20,777 HARRAH'S BOULEVARD,ATLANTIC CITY,NJ,08401,USA,Non Seasonal,,M,H,L,H,VH,Minimal Change,-,High,Low,M
Accoount 21,46510 WILDHORSE BLVD,PENDLETON,OR,97801,USA,,,L,H,M,M,H,Minimal Change,-,Low,,M
Accoount 22,1760 LEARS ROAD,PETOSKEY,MI,49770,USA,Potentially Seasonal,Late Adopter,M,H,L,M,H,Minimal Change,Yes,Medium,Low,M
Accoount 23,1777 3RD AVE,DETROIT,MI,48226,USA,Potentially Seasonal,Early Adopter,M,H,M,H,VH,Minimal Change,Yes,Medium,,H
Accoount 24,30421 US HWY 83,VALENTINE,SD,69201,USA,,None,L,H,H,L,L,Minimal Change,-,Low,,-
Accoount 25,1077 S KYRENE RD,CHANDLER,AZ,85226,USA,Highly Seasonal,Early Adopter,L,H,M,M,H,Minimal Change,Yes,High,Low,M
Accoount 26,17500 NEZ PERCE ROAD,LEWISTON,ID,83501,USA,Potentially Seasonal,None,L,H,M,M,H,Minimal Change,-,Low,,M
Accoount 27,74 SEYMOUR ST W,KAMLOOPS,BC,V2C 1E2,CAN,,None,None,None,M,L,M,None,-,Medium,High,-
Accoount 28,13145 Havasu Lake Road,Havasu Lake,CA,92363,USA,,Late Adopter,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 29,777 SAND HILLS DRIVE,CARBERRY,MB,R0K 0H0,CAN,,None,L,H,M,L,M,Minimal Change,Yes,Low,Medium,M
Accoount 30,1505 EAST HIGHWAY 69,PRESCOTT,AZ,86301,USA,,None,None,None,M,L,M,None,Yes,Low,High,-
Accoount 31,4150 N. STATE ROAD 7,HOLLYWOOD,FL,33021,USA,Potentially Seasonal,Trend Follower,M,H,M,M,H,Encouraging,Yes,High,High,H
Accoount 32,100 PINE CREST LANE,DEADWOOD,SD,57732,USA,Potentially Seasonal,,M,H,M,L,M,Minimal Change,Yes,Medium,High,M
Accoount 33,1000 BUFFALO RUN BOULEVARD,MIAMI,OK,74354,USA,Non Seasonal,Early Adopter,M,H,H,M,H,Minimal Change,-,Medium,Medium,M
Accoount 34,261 MAIN STREET,BLACK HAWK,CO,80422,USA,None,None,None,None,H,L,L,None,Yes,High,Medium,-
Accoount 35,16701 LAKEVIEW ROAD NE,FLINTSTONE,MD,21530,USA,Highly Seasonal,,M,H,M,L,M,Minimal Change,-,Low,,M
Accoount 36,830 NORTH BROADWAY STREET,CHECOTAH,OK,74426,USA,Highly Seasonal,Late Adopter,L,H,H,L,L,Minimal Change,-,Low,,L
Accoount 37,37302 RANCHERIA LANE,AUBERRY,CA,93602,USA,,None,L,H,None,None,None,Concerning,-,Medium,High,-
Accoount 38,2535 LAS VEGAS BLVD SOUTH,LAS VEGAS,NV,89109,USA,Highly Seasonal,Late Adopter,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 39,9700 E INDIAN BEND ROAD,SCOTTSDALE,AZ,85256,USA,Non Seasonal,Early Adopter,L,H,L,M,H,Encouraging,Yes,High,Low,M
Accoount 40,1000 BOARDWALK,ATLANTIC CITY,NJ,08401,USA,Highly Seasonal,Early Adopter,H,H,M,H,VH,Minimal Change,-,High,Low,H
Accoount 41,11330 SOUTHERN HIGHLANDS PKWY,LAS VEGAS,NV,89141,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 42,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 43,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 44,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 45,"455 E PIKES PEAK AVE, SUITE 210",COLORADO SPRINGS,CO,80903,USA,None,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 46,3655 NW 87TH AVE,MIAMI,FL,33178,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 47,180 W HUFFAKER LN STE 301,RENO,NV,89511,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 48,R10200 HWY 89,RED LAKE,MN,56671,USA,,None,None,None,M,L,M,None,Yes,Medium,High,M
Accoount 49,50 CORRIVEAU AVENUE,ST ALBER,AB,T8N 3T5,CAN,None,None,None,None,None,None,None,None,Yes,High,Medium,-
Accoount 50,222 ALLEN RD,BARTLESVILLE,OK,74003,USA,Highly Seasonal,Late Adopter,L,L,H,L,L,Minimal Change,-,Low,,M
Accoount 51,4105 NORTH BROADWAY,POTEAU,OK,74953,USA,Highly Seasonal,Early Adopter,L,H,M,L,M,Minimal Change,-,Medium,High,-
Accoount 52,1160 1ST AVENUE,KING OF PRUSSIA,PA,19406,USA,Non Seasonal,,M,H,M,M,H,Minimal Change,Yes,High,Low,M
Accoount 53,308 MCLEAN ST,QUESNEL,BC,V2L 2N9,CAN,None,None,None,None,H,L,L,None,-,Medium,High,-
Accoount 54,460A NORTH RIVERSIDE DR.,ESPANOLA,NM,87532,USA,Potentially Seasonal,Early Adopter,M,H,M,L,M,Minimal Change,-,Low,,H
Accoount 55,34333 HIGHWAY 97 N,CHILOQUIN,OR,97624,USA,,None,L,H,M,L,M,Minimal Change,Yes,Low,,-
Accoount 56,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 57,950 HOLMAN WAY,SPARKS,NV,89431,USA,Potentially Seasonal,None,L,H,None,None,None,Minimal Change,Yes,High,High,-
Accoount 58,1985 WEST WINNEMUCCA BOULEVARD,WINNEMUCCA,NV,89445,USA,Potentially Seasonal,None,L,H,M,L,M,Minimal Change,-,Low,Medium,M
Accoount 59,1003 SD HWY 47,FORT THOMPSON,SD,57339,USA,,None,L,H,H,L,L,Minimal Change,-,Low,,-
Accoount 60,1051 ROSS GLEN DR SE,MEDICINE HAT,AB,T1B 3T8,CAN,Potentially Seasonal,None,L,H,M,L,M,Minimal Change,Yes,High,Medium,-
Accoount 61,6301 E 10TH AVE STE 160,HIALEAH,FL,33013,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 62,AVENIDA LARCO 880,MIRAFLORES LIMA,,18,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 63,AV. ARTURO PRAT 2755,IQIQUE,,None,CHL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 64,"SORTIS HOTEL SPA Y CASINO, CALLE 56 Y 57 EAST OBARRIO",BELLA VISTA,,None,PAN,,None,None,None,None,None,None,None,-,-,-,-
Accoount 65,"AV PASEO DE LA REPUBLICA, NO 119",LIMA,,1,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 66,JR GALVEZ 263-271 BARRANCA,BARRANCA-LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 67,55051 TOWNSHIP RD 710,GRANDE PRAIRIE,AB,T8X 4A3,CAN,None,None,None,None,H,L,L,None,Yes,High,Medium,-
Accoount 68,"KM 3 DE LA RUTA NACIONAL 1, AV 17 PLAZA DAISY LA URUCA",Provincia De San Jose,,None,CRI,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 69,1385 U.S. 93,Jackpot,NV,89825,USA,Non Seasonal,,L,H,M,L,M,Minimal Change,-,High,High,M
Accoount 70,1425 Pontiac Avenue,Cranston,RI,02920,USA,None,None,None,None,None,None,None,None,-,High,High,-
Accoount 71,AUTOPISTA A FLORIDABLANCA Torre 1 OF 615 ANILLO VIDAL,FLORIDBLANCA,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 72,"Ave. Las Americas, La Chorrera, Edif. Delimar",CHORRERA,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 73,"Ave. 12 de Octubre, Centro comercial Metro Plaza, local #13",Panama,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 74,"Las Cumbres, Urb. Los Andes, Calle Transistmica, CC. Los Andes Local M 1,2,3,4,5",Panama,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 75,"Local CrowN Casino, Edificio Complejo hotelero los Guayacanes, Vía Panamericana, Urbanización los Guayacanes, Corregimiento y Distrito de Chitré",Herrera,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 76,Av. 11 de Septiembre esq. Luis Maria Argaña,Ciudad del Este,,None,PRY,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 77,"3062 West Grand Boulevard, Suite L-700",Detroit,MI,48202,USA,None,None,None,None,None,None,None,None,Yes,Medium,,-
Accoount 78,3680 Goni Road,Carson City,NV,89706,USA,,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 79,3655 Northwest 87th Avenue,Doral,FL,33178,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 80,37 Billy Folly Road,Simpson Bay,,Phili,SXM,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 81,1000 Broadway Street,Cincinnati,OH,45202,USA,Potentially Seasonal,Early Adopter,M,H,M,H,VH,Minimal Change,Yes,High,Low,H
Accoount 82,J.A. Abraham Blvd #40,Kralendijk,,None,ABW,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 83,"719 CENTREVILLE AVE 
UNIT B",BELLEVILLE,IL,62220,USA,,None,None,None,None,None,None,None,Yes,High,Low,-
Accoount 84,1100 S RAINBOW BLVD,LAS VEGAS,NV,89146,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 85,2180 East Calvada Boulevard,Pahrump,NV,89048,USA,,None,None,None,None,None,None,None,-,Low,Medium,-
Accoount 86,4995 W 7TH ST,RENO,NV,89503,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 87,16193 Highway 115,Cache,OK,73527,USA,None,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 88,1100 West Main Street,Danville,VA,24541,USA,None,None,None,None,None,None,None,None,-,Low,,-
Accoount 89,1113 MACINTOSH CT,O FALLON,IL,62269,USA,None,None,None,None,None,None,None,None,Yes,High,Low,-
Accoount 90,9800 W SKYE CANYON PARK DR STE 190,LAS VEGAS,NV,89166,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 91,5406 BOULDER HWY STE A,LAS VEGAS,NV,89122,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 92,1450 E PRATER WAY,SPARKS,NV,89434,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 93,1601 W OAKEY BLVD,LAS VEGAS,NV,89102,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 94,10105 VETERANS PKWY,RENO,NV,89521,USA,None,None,None,None,None,None,None,None,Yes,High,High,L
Accoount 95,5717 SKY POINTE DR,LAS VEGAS,NV,89130,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 96,3570 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89109,USA,Highly Seasonal,Early Adopter,H,H,M,M,H,Minimal Change,Yes,High,High,H
Accoount 97,777 WINNERS CIRCLE DR.,ST. JOSEPH,MO,64505,USA,,None,L,H,M,L,M,Minimal Change,-,Low,Low,M
Accoount 98,206 N. 3RD STREET,LAS VEGAS,NV,89101,USA,Potentially Seasonal,Trend Follower,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 99,1 WEST NEW YORK STREET BRIDGE,AURORA,IL,60506,USA,Potentially Seasonal,Late Adopter,L,H,H,M,H,Minimal Change,Yes,High,Medium,H
Accoount 100,WEST HIGHWAY 46,PICKSTOWN,SD,57367,USA,Non Seasonal,,L,H,M,L,M,Minimal Change,-,Low,,M
Accoount 101,777 VALLEY CENTER ROAD,VALLEY CENTER,CA,92082,USA,Non Seasonal,Early Adopter,M,H,M,H,VH,Minimal Change,-,High,Medium,H
Accoount 102,185 W. WINNEMUCCA BLVD,WINNEMUCCA,NV,89445,USA,Highly Seasonal,None,L,H,L,L,M,Minimal Change,-,Low,Medium,M
Accoount 103,45830 US HWY 2,DEER RIVER,MN,56636,USA,,None,L,H,M,L,M,Minimal Change,-,Low,,-
Accoount 104,2901 GRAND RIVER AVENUE,DETROIT,MI,48201,USA,Highly Seasonal,Trend Follower,H,H,M,H,VH,Minimal Change,Yes,Medium,,M
Accoount 105,777 BEACH BOULEVARD,BILOXI,MS,39530,USA,Potentially Seasonal,Late Adopter,M,H,M,M,H,Minimal Change,Yes,High,Low,M
Accoount 106,"DBA CASINO NOVA SCOTIA,
95 SCHOONER STREET",COQUITLAM,BC,V3K 7A8,CAN,None,None,None,None,None,None,None,None,-,Medium,High,-
Accoount 107,847 CLEMENCEAU,LAC-BEAUPORT,QC,0G1C2,CAN,,None,L,M,L,L,M,Minimal Change,Yes,Medium,High,M
Accoount 108,3500 N.W. 37 AVENUE,MIAMI,FL,33142,USA,,None,L,H,L,M,H,Minimal Change,Yes,High,High,M
Accoount 109,3016 E. LAKE MEAD BLVD.,NORTH LAS VEGAS,NV,89030,USA,Potentially Seasonal,Late Adopter,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 110,2550 GOLDEN NUGGET BLVD,LAKE CHARLES,LA,70601,USA,Potentially Seasonal,Early Adopter,M,H,M,M,H,Minimal Change,-,Medium,Medium,M
Accoount 111,"100 W. LIBERTY STREET, 11TH FLOOR, SUITE 1150",RENO,NV,89501,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 112,2384 WEST RIVER ROAD,NICHOLS,NY,13812,USA,Highly Seasonal,Early Adopter,L,H,M,M,H,Encouraging,Yes,Low,,M
Accoount 113,100 ANTI MONOPOLY ST,MARQUETTE,IA,52158,USA,,None,L,H,M,L,M,Minimal Change,-,Low,,M
Accoount 114,30 BAY STREET WEST,SAULT STE MARIE,ON,P6A 7A6,CAN,Non Seasonal,,L,H,M,L,M,Minimal Change,Yes,High,High,M
Accoount 115,525 ALGODONES RD,WINTERHAVEN,CA,92283,USA,Potentially Seasonal,None,M,H,L,M,H,Minimal Change,Yes,Low,,M
Accoount 116,103 ASPEN PLACE,SASKATOON,SK,S7N 1K4,CAN,,None,L,H,None,None,None,None,-,Low,Medium,-
Accoount 117,455 WAPATO LAKE RD,MANSON,WA,98831,USA,,None,None,None,L,L,M,None,-,Low,Low,-
Accoount 118,3438 STOLUCKQUAMISH LN,ARLINGTON,WA,98223,USA,,None,None,None,L,M,H,None,Yes,High,Low,L
Accoount 119,3655 NW 87TH AVE,MIAMI,FL,33178,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 120,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 121,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,,None,L,M,None,None,None,Minimal Change,Yes,High,High,-
Accoount 122,1050 CARIBBEAN WAY,MIAMI,FL,33132,USA,None,None,None,None,None,None,None,None,Yes,High,High,M
Accoount 123,100 PUBLIC SQUARE,CLEVELAND,OH,44113,USA,None,None,None,None,None,None,None,None,Yes,Medium,,-
Accoount 124,3655 NW 87TH AVE,MIAMI,FL,33178,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 125,806 WEST FOREST AVE,EUFAULA,OK,74432,USA,Non Seasonal,Late Adopter,L,H,H,L,L,Minimal Change,-,Low,Medium,L
Accoount 126,301 BLACKJACK DR,SAND SPRINGS,OK,74063,USA,Potentially Seasonal,Late Adopter,M,H,H,M,H,Minimal Change,-,Medium,High,M
Accoount 127,20900 SOUTH 4200 RD,CLAREMORE,OK,74019,USA,Potentially Seasonal,None,L,H,None,None,None,Minimal Change,-,Medium,High,-
Accoount 128,895 NORTH HIGHWAY 69,STRINGTOWN,OK,74569,USA,Potentially Seasonal,Early Adopter,L,H,H,L,L,Minimal Change,-,Low,Medium,M
Accoount 129,1520 NORTH EASTERN #113,LAS VEGAS,NV,89101,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 130,4900 ANDERSON WAY,VERNON,BC,V1T 5S9,CAN,,None,None,None,M,L,M,None,-,Medium,High,-
Accoount 131,111 ST ANNS RD,CAMPBELL RIVER,BC,V9W 4C5,CAN,,None,L,H,M,L,M,Minimal Change,-,Medium,High,-
Accoount 132,22710 LOUGHEED HWY,MAPLE RIDGE,BC,V2X 2V6,CAN,,None,L,H,M,L,M,Minimal Change,-,Medium,High,M
Accoount 133,825 COMMERCE DR,FERNLEY,NV,89408,USA,Potentially Seasonal,Late Adopter,L,H,H,L,L,Encouraging,-,Medium,Medium,M
Accoount 134,2428 EAST CHEYENNE AVENUE,NORTH LAS VEGAS,NV,89030,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,-
Accoount 135,2800 N WOOD DR,OKMULGEE,OK,74447,USA,,None,None,None,None,None,None,None,-,Medium,High,-
Accoount 136,"1000, 11500 - 35 STREET SE",CALGARY,AB,T2Z 3W4,CAN,,,L,H,M,M,H,Minimal Change,Yes,High,Medium,M
Accoount 137,1708 ISLAND HIGHWAY,VICTORIA,BC,V9B 1H8,CAN,,None,L,H,M,M,H,Minimal Change,-,Medium,High,M
Accoount 138,"CASINO PLATINO, AVENUE ESTRELLA SADHALA #14",SANTIAGO,,51000,DOM,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 139,CAL 53A NO 72B-46 NORMANDIA,BOGOTA,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 140,"Y RECREATIVOS SA, CALLE 26 N 62-49 LOCAL 324",BOGOTA,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 141,"AV BENAVIDES NO 430, MIRAFLORES",LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 142,"PARQUE LA PUENTE, Y CORTEZ N 209
PUEBLO LIBRE",LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 143,CALLE UCELLO NO 200,"SAN BORJA, LIMA",,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 144,4946 RESEARCH DRIVE NW,HUNTSVILLE,AL,35805,USA,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 145,"CALLE DANTE NO 1281, DISTRITO DE SURGUILLO",LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 146,"CALLE DANTE 1281, DISTRITO DE SURQUILLO",LIMA,,None,PER,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 147,11801 E2160 ROAD,TERRAL,OK,73569,USA,Highly Seasonal,,L,H,H,L,L,Minimal Change,-,Medium,High,-
Accoount 148,CASINO DRIVE,PARDISE ISLAND,,None,BHS,Potentially Seasonal,Early Adopter,None,None,None,None,None,None,-,-,-,M
Accoount 149,779 E JEFFERSON AVENUE,MAHNOMEN,MN,56557,USA,None,None,None,None,None,None,None,None,Yes,Medium,High,-
Accoount 150,22181 Resort Boulevard I-40 Exit 219,Flagstaff,AZ,86004,USA,None,None,None,None,None,None,None,None,Yes,Low,,-
Accoount 151,"C.Comercial Vista Alegre, local 14 y 15 al lado del Supermercado Rey",CHORRERA,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 152,"Local CrowN Casino, Hotel Decamerón, Vía Panamericana, Río Hato, Distrito Antón",Coclé,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 153,"Local No. 1, P.H. Colon 2000, entre calle 11 y 13, colindando con la Zona Libre de Colón y el Hotel Radisson",Colón,,None,PAN,,None,None,None,None,None,None,None,-,-,-,-
Accoount 154,"Local No. 1 , Edificio Riande Aeropuerto, Calle Avenida Domingo Díaz, Corregimiento de Tocumen",Panama,,None,PAN,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 155,"Av 35# 55-40 Medellin
Calle 71 # 52ª- 118
Diagonal 44# 32-07
Cl 63# 128-149 SAN CRISTOBAL",Medellin,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 156,900 Pennsylvania Avenue,Charleston,WV,25302,USA,None,None,None,None,None,None,None,None,-,Low,,-
Accoount 157,7665 CORPORATE CENTER DR,MIAMI,FL,33126,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 158,"Carrera 4 # 10-44 Oficina 201
Cali, 760044",Cali,,None,COL,None,None,None,None,None,None,None,None,-,-,-,-
Accoount 159,240 W LAURA DR,ADDISON,IL,60101,USA,,None,None,None,None,None,None,None,Yes,High,Medium,-
Accoount 160,462 E MAIN ST,ASHLEY,IL,62808,USA,,None,None,None,None,None,None,None,-,Low,,-
Accoount 161,US 271 S & E 2120 Rd,Grant,OK,74738,USA,Potentially Seasonal,None,L,L,None,None,None,Minimal Change,-,Low,High,L
Accoount 162,2212 Rosita Valley Road,Eagle Pass,TX,78852,USA,None,None,None,None,None,None,None,None,-,Medium,,-
Accoount 163,40 Nevada 160,Pahrump,NV,89048,USA,,None,L,H,None,None,None,None,-,Low,Medium,-
Accoount 164,4204 North Western Avenue,Chicago,IL,60618,USA,,None,None,None,None,None,None,None,Yes,High,Medium,-
Accoount 165,1707 W County Rd,Fort Hall,ID,83203,USA,None,None,None,None,None,None,None,None,-,Low,,-
Accoount 166,2899 WHITEFORD RD,YORK,PA,17402,USA,Potentially Seasonal,None,L,H,None,None,None,Minimal Change,-,Low,,M
Accoount 167,"5085 W SAHARA AVE
SUITE 130",LAS VEGAS,NV,89146,USA,,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 168,1131 E TROPICANA AVE,LAS VEGAS,NV,89119,USA,,None,L,H,None,None,None,Minimal Change,Yes,High,High,M
Accoount 169,3328 E CHARLESTON BLVD,LAS VEGAS,NV,89104,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 170,150 E CENTENNIAL PKWY,NORTH LAS VEGAS,NV,89084,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 171,931 LAS VEGAS BLVD N,LAS VEGAS,NV,89101,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 172,290 KINGSBURY GRADE,STATELINE,NV,89449,USA,None,None,None,None,None,None,None,None,Yes,Medium,Medium,-
Accoount 173,1380 DISC DR,SPARKS,NV,89436,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 174,1573 S VIRGINIA ST,RENO,NV,89502,USA,,None,L,H,None,None,None,None,Yes,High,High,-
Accoount 175,8700 W JUDGE PEREZ DR STE B,CHALMETTE,LA,70043,USA,,None,None,None,None,None,None,None,-,Medium,Medium,-
Accoount 176,47 E CACTUS AVE,LAS VEGAS,NV,89183,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 177,7330 S BUFFALO DR,LAS VEGAS,NV,89113,USA,None,None,None,None,None,None,None,None,Yes,High,High,-
Accoount 178,4543 N RANCHO DR,LAS VEGAS,NV,89130,USA,None,None,None,None,None,None,None,None,Yes,High,High,L
Accoount 179,2801 BROADBENT PKWY NE STE A,ALBUQUERQUE,NM,87107,USA,None,None,None,None,None,None,None,None,-,High,Medium,-
Accoount 180,62 S C ST,VIRGINIA CITY,NV,89440,USA,None,None,None,None,None,None,None,None,Yes,High,High,M
Accoount 181,3281 48TH AVE,BETTENDORF,IA,52722,USA,None,None,None,None,None,None,None,None,-,Medium,Low,-
Accoount 182,676 BAYVIEW AVE.,BILOXI,MS,39530,USA,,,L,H,H,L,L,Minimal Change,Yes,High,Low,M
Accoount 183,275 MESA BLVD,MESQUITE,NV,89027,USA,Highly Seasonal,,H,H,M,M,H,Minimal Change,Yes,High,High,H
Accoount 184,2065 IDAHO STREET,ELKO,NV,89801,USA,Potentially Seasonal,None,L,H,M,L,M,Minimal Change,-,High,High,-
Accoount 185,607 S. VETERANS STREET,FLANDREAU,SD,57028,USA,Potentially Seasonal,Early Adopter,M,H,H,L,L,Minimal Change,-,Low,,M
Accoount 186,850 BAYVIEW AVE.,BILOXI,MS,39530,USA,Potentially Seasonal,Early Adopter,H,H,H,M,H,Minimal Change,Yes,High,Low,H
Accoount 187,NO.1 MAIN STREET,JEAN,NV,89019,USA,,None,None,None,L,L,M,None,Yes,High,High,-
Accoount 188,3475 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89109,USA,Potentially Seasonal,Trend Follower,M,H,L,M,H,Minimal Change,Yes,High,High,H
Accoount 189,501 AULTMAN STREET,ELY,NV,89301,USA,Potentially Seasonal,None,L,H,M,L,M,Minimal Change,-,High,High,M
Accoount 190,17214 210TH STREET,ONAWA,IA,51040,USA,Potentially Seasonal,Trend Follower,L,H,H,L,L,Minimal Change,-,Low,,M
Accoount 191,3 WEEMINUCHE DRIVE,TOWAOC,CO,81334,USA,Potentially Seasonal,,L,H,M,M,H,Minimal Change,-,Medium,High,M
